id,barcode,expirationDate,price,category,quantity,name,stock,minStock,img,profitMargin,costPrice
7000073,7000073,1-Jan-27,58.2,tab,0.3,Apixaban 5mg,6,1,,10,42
7000074,7000074,1-Jan-27,12.5,cap,5,Amphotericin B 50mg,14,1,,10,8.3
7000075,7000075,1-Jan-27,1.45,tab,150,Naproxen 250mg,180,20,,10,0.97
7000076,7000076,1-Jan-27,26.8,cream,1.1,Betamethasone 0.05%,22,2,,10,18
7000077,7000077,1-Jan-27,7.25,tab,20,Memantine 10mg,38,4,,10,4.8
7000078,7000078,1-Jan-27,39.4,cap,0.7,Meropenem 1g,5,0.5,,10,28
7000079,7000079,1-Jan-27,13.75,soln,2,Ethanol 70%,45,5,,10,9.2
7000080,7000080,1-Jan-27,3.6,tab,50,Simvastatin 20mg,85,8,,10,2.4
7000081,7000081,1-Jan-27,47.8,tab,0.55,Rivaroxaban 15mg,7,1,,10,34
7000082,7000082,1-Jan-27,18.9,cap,2.2,Linezolid 600mg,16,1,,10,12.6
7000083,7000083,1-Jan-27,8.95,tab,9,Domperidone 10mg,29,3,,10,6
7000084,7000084,1-Jan-27,5.6,inh,0.4,Ipratropium 20mcg,20,2,,10,3.7
7000085,7000085,1-Jan-27,32.5,tab,1.4,Phenytoin 100mg,13,1,,10,22
7000086,7000086,1-Jan-27,2.3,tab,120,Magnesium Oxide 400mg,150,15,,10,1.5
7000087,7000087,1-Jan-27,22.1,syr,0.6,Pseudoephedrine 30mg/5ml,18,2,,10,15
7000088,7000088,1-Jan-27,41.6,cap,0.35,Vancomycin 500mg,4,0.5,,10,30
7000089,7000089,1-Jan-27,9.75,tab,7,Cyclobenzaprine 10mg,31,3,,10,6.5
7000090,7000090,1-Jan-27,1.89,tab,300,Folic Acid 1mg,400,30,,10,1.26
7000091,7000091,1-Jan-27,28.3,cream,0.9,Acyclovir 5%,14,1,,10,19
7000092,7000092,1-Jan-27,14.2,cap,4.5,Colchicine 0.5mg,25,2,,10,9.5
7000093,7000093,1-Jan-27,6.45,tab,15,Desloratadine 5mg,36,4,,10,4.3
7000094,7000094,1-Jan-27,37.6,soln,0.2,Potassium Permanganate,10,1,,10,26
7000095,7000095,1-Jan-27,11.1,tab,6,Mirtazapine 30mg,24,2,,10,7.4
7000096,7000096,1-Jan-27,55.9,cap,0.4,Daptomycin 500mg,3,0.5,,10,42
7000097,7000097,1-Jan-27,4.55,tab,30,Quetiapine 25mg,48,5,,10,3
7000098,7000098,1-Jan-27,23.8,inh,0.15,Fluticasone 125mcg,11,1,,10,16
7000099,7000099,1-Jan-27,8.3,tab,12,Amlodipine 5mg,44,4,,10,5.5
7000100,7000100,1-Jan-27,49.2,cream,0.5,Tacrolimus 0.1%,6,1,,10,35
7000101,7000101,15-Feb-26,17.5,tab,2,Lisinopril 10mg,20,2,,10,12
7000102,7000102,10-Mar-27,9.8,cap,3,Ciprofloxacin 500mg,15,2,,10,6.5
7000103,7000103,5-Apr-26,34.2,syr,0.75,Guaifenesin 100mg/5ml,12,1,,10,24
7000104,7000104,20-May-27,2.9,tab,100,Pyridoxine 50mg,90,10,,10,1.9
7000105,7000105,12-Jun-26,62.5,inh,0.1,Salmeterol 25mcg,5,0.5,,10,45
7000106,7000106,8-Jul-27,11.4,cream,1.5,Lidocaine 5%,28,3,,10,7.6
7000107,7000107,30-Aug-26,5.2,tab,24,Fenofibrate 160mg,35,4,,10,3.5
7000108,7000108,25-Sep-27,28.9,cap,1.2,Erythromycin 250mg,18,2,,10,20
7000109,7000109,14-Oct-26,7.6,tab,18,Valproate 500mg,30,3,,10,5.1
7000110,7000110,3-Nov-27,19.4,soln,0.9,Hydrogen Peroxide 3%,22,2,,10,13
7000111,7000111,22-Dec-26,1.2,tab,400,Thiamine 100mg,500,40,,10,0.8
7000112,7000112,11-Jan-27,43.7,cap,0.45,Cefixime 200mg,9,1,,10,31
7000113,7000113,19-Feb-26,15.3,tab,5,Perindopril 4mg,26,2,,10,10.2
7000114,7000114,7-Mar-27,8.9,inh,0.3,Beclomethasone 50mcg,17,1,,10,5.9
7000115,7000115,24-Apr-26,36.1,tab,0.9,Digoxin 0.25mg,8,1,,10,25
7000116,7000116,16-May-27,6.8,cream,2,Mupirocin 2%,40,4,,10,4.5
7000117,7000117,29-Jun-26,4.1,tab,45,Cyanocobalamin 1mg,55,6,,10,2.7
7000118,7000118,13-Jul-27,52.4,cap,0.3,Meropenem 500mg,4,0.5,,10,38
7000119,7000119,1-Aug-26,12.9,tab,7,Clonazepam 2mg,19,2,,10,8.6
7000120,7000120,18-Sep-27,3.4,tab,60,Acetazolamide 250mg,70,7,,10,2.3
7000121,7000121,6-Oct-26,22.7,syr,0.6,Diphenhydramine 12.5mg/5ml,14,1,,10,15
7000122,7000122,27-Nov-27,9.3,cap,10,Sulfasalazine 500mg,32,3,,10,6.2
7000123,7000123,15-Dec-26,41.8,tab,0.4,Methotrexate 2.5mg,7,1,,10,30
7000124,7000124,4-Jan-27,7.1,cream,1.2,Neomycin 0.5%,23,2,,10,4.7
7000125,7000125,23-Feb-26,1.8,tab,200,Ascorbic Acid 500mg,250,25,,10,1.2
7000126,7000126,12-Mar-27,33.5,cap,0.55,Cefpodoxime 100mg,11,1,,10,24
7000127,7000127,30-Apr-26,14.6,tab,4,Venlafaxine 75mg,27,2,,10,9.7
7000128,7000128,19-May-27,5.9,inh,0.5,Epinephrine 0.1mg,16,1,,10,3.9
7000129,7000129,8-Jun-26,27.8,tab,1.5,Gliclazide 60mg,13,1,,10,18.5
7000130,7000130,26-Jul-27,2.5,tab,80,Baclofen 10mg,95,10,,10,1.67
7000131,7000131,17-Aug-26,38.4,cream,0.7,Clobetasol 0.05%,10,1,,10,27
7000132,7000132,5-Sep-27,10.2,cap,6,Doxycycline 100mg,29,3,,10,6.8
7000133,7000133,24-Oct-26,4.8,tab,30,Chlorpheniramine 4mg,50,5,,10,3.2
7000134,7000134,13-Nov-27,19.7,syr,1.1,Promethazine 25mg/5ml,21,2,,10,13
7000135,7000135,2-Dec-26,61.3,tab,0.2,Ticagrelor 90mg,5,0.5,,10,45
7000136,7000136,21-Jan-27,8.6,cap,9,Cefuroxime 250mg,34,3,,10,5.7
7000137,7000137,10-Feb-26,3.2,tab,55,Enalapril 5mg,65,6,,10,2.1
7000138,7000138,1-Mar-27,25.4,soln,0.5,Silver Sulfadiazine 1%,15,1,,10,17
7000139,7000139,18-Apr-26,13.1,tab,5,Risperidone 2mg,22,2,,10,8.7
7000140,7000140,7-May-27,1.1,tab,350,Zinc Sulfate 50mg,400,35,,10,0.73
7000141,7000141,29-Jun-26,47.2,cap,0.35,Caspofungin 70mg,6,1,,10,34
7000142,7000142,15-Jul-27,9.9,cream,1.8,Permethrin 5%,26,2,,10,6.6
7000143,7000143,4-Aug-26,5.6,tab,14,Olanzapine 5mg,31,3,,10,3.7
7000144,7000144,23-Sep-27,31.8,inh,0.12,Formoterol 12mcg,9,1,,10,22
7000145,7000145,12-Oct-26,2.9,tab,90,Metoclopramide 10mg,110,11,,10,1.93
7000146,7000146,30-Nov-27,16.4,cap,3.5,Nitrofurantoin 100mg,24,2,,10,11
7000147,7000147,19-Dec-26,54.6,tab,0.3,Dabigatran 110mg,6,0.5,,10,40
7000148,7000148,8-Jan-27,7.8,cream,1.4,Clotrimazole 1%,33,3,,10,5.2
7000149,7000149,27-Feb-26,4.4,tab,40,Tolperisone 150mg,47,5,,10,2.9
7000150,7000150,16-Mar-27,39.2,cap,0.6,Tigecycline 50mg,7,1,,10,28
7000151,7000151,5-Apr-26,12.3,tab,6,Haloperidol 5mg,28,3,,10,8.2
7000152,7000152,24-May-27,2.1,tab,130,Potassium Citrate 1080mg,160,15,,10,1.4
7000153,7000153,13-Jun-26,20.5,syr,0.9,Dextromethorphan 15mg/5ml,17,1,,10,13.7
7000154,7000154,1-Jul-27,8.2,cap,12,Cefadroxil 500mg,38,4,,10,5.5
7000155,7000155,22-Aug-26,35.9,tab,0.8,Amiodarone 200mg,10,1,,10,24
7000156,7000156,11-Sep-27,6.3,cream,2.2,Miconazole 2%,41,4,,10,4.2
7000157,7000157,30-Oct-26,1.5,tab,280,Carbidopa/Levodopa 25/100,320,30,,10,1
7000158,7000158,18-Nov-27,29.4,inh,0.18,Levosalbutamol 50mcg,12,1,,10,20
7000159,7000159,7-Dec-26,11.7,tab,8,Telmisartan 40mg,30,3,,10,7.8
7000160,7000160,26-Jan-27,4.9,cap,20,Ampicillin 500mg,52,5,,10,3.27
7000161,7000161,15-Feb-26,23.6,tab,1.8,Ethambutol 400mg,16,1,,10,15.7
7000162,7000162,4-Mar-27,3.8,tab,48,Piroxicam 20mg,58,6,,10,2.5
7000163,7000163,25-Apr-26,42.1,soln,0.4,Mannitol 20%,8,1,,10,30
7000164,7000164,14-May-27,14.4,tab,4,Clozapine 100mg,25,2,,10,9.6
7000165,7000165,2-Jun-26,1.95,tab,220,Loperamide 2mg,270,25,,10,1.3
7000166,7000166,23-Jul-27,37.3,cap,0.65,Teicoplanin 200mg,7,0.5,,10,26
7000167,7000167,12-Aug-26,8.9,cream,1.6,Betamethasone 0.1%,29,3,,10,5.9
7000168,7000168,31-Sep-27,5.4,tab,22,Diltiazem 60mg,39,4,,10,3.6
7000169,7000169,19-Oct-26,18.2,inh,0.3,Cromolyn 20mg,18,2,,10,12.1
7000170,7000170,8-Nov-27,2.7,tab,110,Bromhexine 8mg,130,13,,10,1.8
7000171,7000171,27-Dec-26,31.5,cap,0.9,Clarithromycin 500mg,14,1,,10,21
7000172,7000172,16-Jan-27,10.6,tab,7,Flecainide 100mg,27,2,,10,7.1
7000173,7000173,5-Feb-26,1.35,tab,380,Calcium Carbonate 500mg,450,40,,10,0.9
7000174,7000174,24-Mar-27,26.3,syr,0.6,Carbocisteine 250mg/5ml,15,1,,10,17.5
7000175,7000175,13-Apr-26,7.4,cap,15,Cefaclor 250mg,35,3,,10,4.9
7000176,7000176,2-May-27,44.8,tab,0.5,Misoprostol 200mcg,6,1,,10,32
7000177,7000177,21-Jun-26,3.6,tab,60,Orphenadrine 100mg,72,7,,10,2.4
7000178,7000178,10-Jul-27,19.9,cream,1.3,Calcipotriol 0.005%,20,2,,10,13.3
7000179,7000179,29-Aug-26,5.8,inh,0.7,Acetylcysteine 200mg,24,2,,10,3.87
7000180,7000180,18-Sep-27,12.8,tab,5,Aceclofenac 100mg,33,3,,10,8.5
7000181,7000181,7-Oct-26,2.3,tab,140,Senna 7.5mg,170,17,,10,1.53
7000182,7000182,26-Nov-27,33.1,cap,0.45,Cefdinir 300mg,10,1,,10,23
7000183,7000183,15-Dec-26,15.7,tab,3.5,Piracetam 800mg,23,2,,10,10.5
7000184,7000184,4-Jan-27,6.1,cream,2,Fluticasone 0.05%,37,4,,10,4.1
7000185,7000185,23-Feb-26,1.6,tab,250,Bisacodyl 5mg,300,30,,10,1.07
7000186,7000186,12-Mar-27,41.2,tab,0.6,Eszopiclone 2mg,5,0.5,,10,29
7000187,7000187,1-Apr-26,9.5,cap,8,Cefprozil 250mg,31,3,,10,6.3
7000188,7000188,20-May-27,4.3,tab,35,Deflazacort 6mg,46,4,,10,2.87
7000189,7000189,9-Jun-26,27.4,soln,0.4,Povidone Iodine 10%,13,1,,10,18.3
7000190,7000190,28-Jul-27,13.9,tab,4.5,Isosorbide Mononitrate 20mg,26,2,,10,9.3
7000191,7000191,17-Aug-26,2.1,tab,180,Cholecalciferol 1000IU,220,22,,10,1.4
7000192,7000192,6-Sep-27,36.7,cap,0.3,Moxifloxacin 400mg,8,1,,10,26
7000193,7000193,25-Oct-26,8.3,inh,0.5,Theophylline 125mg,19,2,,10,5.5
7000194,7000194,14-Nov-27,5.5,tab,16,Trifluoperazine 5mg,34,3,,10,3.67
7000195,7000195,3-Dec-26,22.4,cream,1.1,Mometasone 0.1%,18,2,,10,15
7000196,7000196,22-Jan-27,1.85,tab,300,Docusate 100mg,350,35,,10,1.23
7000197,7000197,11-Feb-26,18.6,cap,2.8,Minocycline 50mg,21,2,,10,12.4
7000198,7000198,2-Mar-27,7.9,tab,11,Nebivolol 5mg,30,3,,10,5.27
7000199,7000199,21-Apr-26,32.5,tab,0.7,Methylprednisolone 16mg,9,1,,10,21.7
7000200,7000200,10-May-27,4.7,tab,42,Flunarizine 10mg,50,5,,10,3.13
7000201,7000201,29-Jun-26,14.2,syr,0.9,Butamirate 7.5mg/5ml,22,2,,10,9.5
7000202,7000202,18-Jul-27,6.6,cap,14,Cephalexin 125mg,36,4,,10,4.4
7000203,7000203,7-Aug-26,39.8,tab,0.4,Tolvaptan 15mg,6,0.5,,10,28
7000204,7000204,26-Sep-27,3.3,tab,55,Chlorzoxazone 500mg,68,7,,10,2.2
7000205,7000205,15-Oct-26,11.2,cream,1.7,Terbinafine 1%,32,3,,10,7.5
7000206,7000206,4-Nov-27,23.5,tab,2.1,Lamotrigine 50mg,17,1,,10,15.7
7000207,7000207,23-Dec-26,1.95,tab,270,Melatonin 3mg,300,30,,10,1.3
7000208,7000208,12-Jan-27,28.9,cap,0.8,Posaconazole 100mg,11,1,,10,19.3
7000209,7000209,1-Feb-26,9.1,tab,7,D
